;DAY_DATE;ISIN;TRADING_CURRENCY_CODE;SUM(NUMBER_OF_TRADES);SUM(TURNOVER_CHF)
641785;2011-02-14;CH0012255151;CHF;2844;54110110.7
5352316;2011-02-15;CH0012255151;CHF;3509;75044727.8
2690134;2011-02-16;CH0012255151;CHF;3176;68158295.8
6191601;2011-02-17;CH0012255151;CHF;2870;60132206.5
3455065;2011-02-18;CH0012255151;CHF;2273;116641714.5
494167;2011-02-21;CH0012255151;CHF;2065;32037264.5
4440040;2011-02-22;CH0012255151;CHF;4896;91785733.7
5796243;2011-02-23;CH0012255151;CHF;3065;52261266.5
1456439;2011-02-24;CH0012255151;CHF;4067;78040129.8
3183357;2011-02-25;CH0012255151;CHF;2683;59158022.6
3183366;2011-02-28;CH0012255151;CHF;2555;52445742.4
1679068;2011-03-01;CH0012255151;CHF;4274;85327063.3
2788871;2011-03-02;CH0012255151;CHF;3169;67444461.1
2862658;2011-03-03;CH0012255151;CHF;4169;101775644.9
4021576;2011-03-04;CH0012255151;CHF;2484;62300684.4
5944558;2011-03-07;CH0012255151;CHF;3925;83830806.3
4144711;2011-03-08;CH0012255151;CHF;3385;55570608.1
4982763;2011-03-09;CH0012255151;CHF;2783;43501015.5
4317199;2011-03-10;CH0012255151;CHF;4817;111470905.6
815005;2011-03-11;CH0012255151;CHF;5819;123069448.8
938020;2011-03-14;CH0012255151;CHF;6780;101859536.3
3529277;2011-03-15;CH0012255151;CHF;12752;290151077.1
5846079;2011-03-16;CH0012255151;CHF;8605;194658826.1
1875985;2011-03-17;CH0012255151;CHF;6562;128799038.7
5057135;2011-03-18;CH0012255151;CHF;6773;170470758.8
5524796;2011-03-21;CH0012255151;CHF;5895;117388790.3
6271316;2011-03-22;CH0012255151;CHF;6013;120673415.0
5895304;2011-03-23;CH0012255151;CHF;4412;84970698.5
1679149;2011-03-24;CH0012255151;CHF;4546;120205690.0
2541864;2011-03-25;CH0012255151;CHF;2748;53464082.2
3158836;2011-03-28;CH0012255151;CHF;2184;49696654.6
4120174;2011-03-29;CH0012255151;CHF;3131;63928320.8
4933324;2011-03-30;CH0012255151;CHF;3820;92936684.4
2665751;2011-03-31;CH0012255151;CHF;2881;63564062.0
653527;2011-04-01;CH0012255151;CHF;3954;84130409.2
5610318;2011-04-04;CH0012255151;CHF;2393;42378263.2
2553425;2011-04-05;CH0012255151;CHF;2661;61501069.2
1517333;2011-04-06;CH0012255151;CHF;2725;63069930.5
4156199;2011-04-07;CH0012255151;CHF;4300;84121444.2
6227640;2011-04-08;CH0012255151;CHF;2755;51363913.2
111785;2011-04-11;CH0012255151;CHF;2826;56541243.3
3589928;2011-04-12;CH0012255151;CHF;2815;61741916.1
974137;2011-04-13;CH0012255151;CHF;2618;64560589.8
4648972;2011-04-14;CH0012255151;CHF;3616;60891029.3
4254876;2011-04-15;CH0012255151;CHF;2421;93231421.8
2948132;2011-04-18;CH0012255151;CHF;4065;71908796.5
2775882;2011-04-19;CH0012255151;CHF;5091;114030235.9
5215913;2011-04-20;CH0012255151;CHF;5005;105762200.5
1517338;2011-04-21;CH0012255151;CHF;3577;68568124.5
3811313;2011-04-26;CH0012255151;CHF;3255;62668364.2
5462614;2011-04-27;CH0012255151;CHF;2941;60512356.9
1985772;2011-04-28;CH0012255151;CHF;3133;59353473.3
2405713;2011-04-29;CH0012255151;CHF;2228;41214619.0
2455040;2011-05-02;CH0012255151;CHF;2108;42750850.0
628690;2011-05-03;CH0012255151;CHF;6535;145369607.6
4008390;2011-05-04;CH0012255151;CHF;3943;73778440.1
3392496;2011-05-05;CH0012255151;CHF;3492;74515048.1
1319811;2011-05-06;CH0012255151;CHF;2542;55956123.8
2048635;2011-05-09;CH0012255151;CHF;3694;80205242.3
1716;2011-05-10;CH0012255151;CHF;3049;67886587.2
1036889;2011-05-11;CH0012255151;CHF;9538;140020649.7
2542039;2011-05-12;CH0012255151;CHF;4503;87685497.5
6117594;2011-05-13;CH0012255151;CHF;2926;46770964.0
1012086;2011-05-16;CH0012255151;CHF;3445;65660810.7
2641164;2011-05-17;CH0012255151;CHF;3229;63403863.3
4489356;2011-05-18;CH0012255151;CHF;2992;58696932.7
3480071;2011-05-19;CH0012255151;CHF;5661;141913431.2
3996996;2011-05-20;CH0012255151;CHF;3509;86360940.7
765826;2011-05-23;CH0012255151;CHF;4602;77020916.5
2641191;2011-05-24;CH0012255151;CHF;3146;48829941.9
3972346;2011-05-25;CH0012255151;CHF;2689;51837560.0
4243677;2011-05-26;CH0012255151;CHF;3624;57635558.3
2690503;2011-05-27;CH0012255151;CHF;2285;46291117.3
199143;2011-05-30;CH0012255151;CHF;986;16937571.9
4268142;2011-05-31;CH0012255151;CHF;2902;64255066.5
223922;2011-06-01;CH0012255151;CHF;4153;72471988.3
5180213;2011-06-03;CH0012255151;CHF;4496;69501854.3
1135871;2011-06-06;CH0012255151;CHF;3215;57142785.8
2073516;2011-06-07;CH0012255151;CHF;3169;56712436.9
4194136;2011-06-08;CH0012255151;CHF;4547;79093455.3
987529;2011-06-09;CH0012255151;CHF;4308;77015730.6
2813907;2011-06-10;CH0012255151;CHF;4096;71733346.7
1407179;2011-06-14;CH0012255151;CHF;3547;62275692.5
2690552;2011-06-15;CH0012255151;CHF;2982;54812289.6
4071112;2011-06-16;CH0012255151;CHF;4014;80101520.6
1506186;2011-06-17;CH0012255151;CHF;3973;99809932.5
5871015;2011-06-20;CH0012255151;CHF;2539;47183574.9
3849070;2011-06-21;CH0012255151;CHF;4034;66840228.3
2468557;2011-06-22;CH0012255151;CHF;3304;60970933.6
4021931;2011-06-23;CH0012255151;CHF;4472;88043149.9
1357910;2011-06-24;CH0012255151;CHF;4848;97444730.5
4243766;2011-06-27;CH0012255151;CHF;2825;55242010.4
1703992;2011-06-28;CH0012255151;CHF;4332;85141906.3
3307478;2011-06-29;CH0012255151;CHF;3881;76907291.6
1703999;2011-06-30;CH0012255151;CHF;3953;75754734.9
4293048;2011-07-01;CH0012255151;CHF;3582;70820546.3
1234885;2011-07-04;CH0012255151;CHF;2703;48835068.6
1308427;2011-07-05;CH0012255151;CHF;5351;100039615.0
4835359;2011-07-06;CH0012255151;CHF;3530;70098842.1
2838753;2011-07-07;CH0012255151;CHF;3609;63547527.0
1012251;2011-07-08;CH0012255151;CHF;4670;82243621.8
3824763;2011-07-11;CH0012255151;CHF;3365;74069475.0
1901209;2011-07-12;CH0012255151;CHF;6716;125638952.9
5796687;2011-07-13;CH0012255151;CHF;4945;105664812.1
765981;2011-07-14;CH0012255151;CHF;3461;65311020.6
765986;2011-07-15;CH0012255151;CHF;3635;77280309.1
4662491;2011-07-18;CH0012255151;CHF;5028;96342445.0
1950315;2011-07-19;CH0012255151;CHF;5479;89718868.1
5821655;2011-07-20;CH0012255151;CHF;4797;78542375.2
4415737;2011-07-21;CH0012255151;CHF;4544;87842286.7
1802520;2011-07-22;CH0012255151;CHF;5626;85182614.0
1679559;2011-07-25;CH0012255151;CHF;3907;62598088.9
